gene_name,prediction,score,Pfam,PANTHER,SUPERFAMILY
CG8765,True,0.963,Alcohol dehydrogenase transcription factor Myb/SANT-like,MADF DOMAIN TRANSCRIPTION FACTOR,N/A
mael,True,0.9183,piRNA pathway germ-plasm component,PROTEIN MAELSTROM HOMOLOG,N/A
CG11710,True,0.8169,"Putative zinc finger motif, C2HC5-type",THYROID RECEPTOR INTERACTING PROTEIN RELATED,PUA domain-like
Cf2,True,0.9981,"Zinc finger, C2H2 type",PR DOMAIN ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
CG1677,True,0.7399,CCCH-type zinc finger,ZINC FINGER CCCH DOMAIN-CONTAINING PROTEIN 18,CCCH zinc finger
pnt,True,0.9989,Ets-domain,ETS,SAM/Pointed domain
CG18004,True,0.9693,INO80 complex subunit E,INO80 COMPLEX SUBUNIT E,N/A
REPTOR-BP,True,0.9837,Basic region leucine zipper,CAMP-RESPONSIVE ELEMENT-BINDING PROTEIN-LIKE 2,Leucine zipper domain
Hrs,True,0.9379,VHS domain,HEPATOCYTE GROWTH FACTOR-REGULATED TYROSINE KINASE SUBSTRATE,FYVE/PHD zinc finger
gem,True,0.8053,SAM domain (Sterile alpha motif),TRANSCRIPTION FACTOR CP2,SAM/Pointed domain
CG6695,True,0.7724,Alternative splicing regulator,SPLICING FACTOR  SUPPRESSOR OF WHITE APRICOT,N/A
Pur-alpha,True,0.6944,N/A,N/A,N/A
CG14982,True,0.9615,Centrosome-associated C terminus,AGAP005440-PA,beta-sandwich domain of Sec23/24
scrt,True,0.9895,C2H2-type zinc finger,PR DOMAIN ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
FoxL1,True,0.986,Forkhead domain,FORKHEAD BOX PROTEIN,"""Winged helix"" DNA-binding domain"
CG12605,True,0.9957,N/A,N/A,N/A
HLH4C,True,0.9865,Helix-loop-helix DNA-binding domain,T-CELL ACUTE LYMPHOCYTIC LEUKEMIA/STEM CELL LEUKEMIA-RELATED,"HLH, helix-loop-helix DNA-binding domain"
btz,True,0.8917,CASC3/Barentsz eIF4AIII binding,PROTEIN CASC3,N/A
CG10949,True,0.9876,Alcohol dehydrogenase transcription factor Myb/SANT-like,MADF DOMAIN TRANSCRIPTION FACTOR,N/A
Atf6,True,0.9656,bZIP transcription factor,"ATF6, ISOFORM C",Leucine zipper domain
exd,True,0.9982,Homeobox KN domain,HOMEOBOX PROTEIN TRANSCRIPTION FACTORS,Homeodomain-like
Phf7,True,0.7686,PHD-like zinc-binding domain,PHD FINGER PROTEIN,FYVE/PHD zinc finger
Optix,True,0.9978,Homeodomain,HOMEOBOX PROTEIN SIX,Homeodomain-like
CG33557,True,0.7916,N/A,N/A,N/A
emc,True,0.9995,Helix-loop-helix DNA-binding domain,DNA-BINDING PROTEIN INHIBITOR,"HLH, helix-loop-helix DNA-binding domain"
eyg,True,0.9879,Homeodomain,PAIRED BOX PROTEIN PAX-6-RELATED-RELATED,Homeodomain-like
sv,True,0.9845,'Paired box' domain,PAIRED BOX PROTEIN PAX-6-RELATED-RELATED,Homeodomain-like
jim,True,0.9876,"Zinc finger, C2H2 type",PR DOMAIN ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
oc,True,0.9991,Homeodomain,HOMEOBOX PROTEIN,Homeodomain-like
zfh1,True,0.9987,"Zinc finger, C2H2 type",HISTONE H4 TRANSCRIPTION FACTOR-RELATED,Homeodomain-like
CG1360,True,0.9506,N/A,N/A,N/A
tll,True,0.9912,Ligand-binding domain of nuclear hormone receptor,NUCLEAR HORMONE RECEPTOR,Nuclear receptor ligand-binding domain
ey,True,0.9929,Homeodomain,PAIRED BOX PROTEIN PAX-6-RELATED-RELATED,Homeodomain-like
CG14667,True,0.5845,"Zinc finger, C2H2 type",PR DOMAIN ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
ewg,True,0.9966,NLS-binding and DNA-binding and dimerisation domains of Nrf1,NUCLEAR RESPIRATORY FACTOR 1,N/A
Eip74EF,True,0.9989,Ets-domain,ETS,"""Winged helix"" DNA-binding domain"
mim,True,0.861,IRSp53/MIM homology domain,ACTIN BUNDLING/MISSING IN METASTASIS-RELATED,BAR/IMD domain-like
gsb,True,0.9998,Homeodomain,PAIRED BOX PROTEIN PAX-6-RELATED-RELATED,Homeodomain-like
Stat92E,True,0.9157,"Signal transducer and activator of transcription, linker domain",SIGNAL TRANSDUCER AND ACTIVATOR OF TRANSCRIPTION,p53-like transcription factors
bnl,True,0.8892,Fibroblast growth factor,FIBROBLAST GROWTH FACTOR,Cytokine
bocks,True,0.795,LEM domain,N/A,LEM domain
Doc2,True,0.9877,T-box,T-BOX PROTEIN-RELATED,p53-like transcription factors
Top1,True,0.9689,C-terminal topoisomerase domain,DNA TOPOISOMERASE I,"Eukaryotic DNA topoisomerase I, dispensable insert domain"
hry,True,0.9927,Helix-loop-helix DNA-binding domain,"BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTOR, HES-RELATED",Orange domain-like
prd,True,0.9999,'Paired box' domain,PAIRED BOX PROTEIN PAX-6-RELATED-RELATED,Homeodomain-like
Clk,True,0.9615,PAS domain,CIRCADIAN LOCOMOTER OUTPUT CYCLES PROTEIN KAPUT,PYP-like sensor domain (PAS domain)
CG8478,True,0.5391,"Zinc finger, C2H2 type",KRAB AND ZINC FINGER DOMAIN-CONTAINING,beta-beta-alpha zinc fingers
en,True,0.9987,Homeodomain,HOMEOBOX PROTEIN ENGRAILED,Homeodomain-like
acj6,True,0.9991,Homeodomain,POU DOMAIN,Homeodomain-like
CG9776,True,0.5443,N/A,ZINC FINGER CONTAINING PROTEIN,N/A
ena,True,0.6117,VASP tetramerisation domain,"SPROUTY-RELATED, EVH1 DOMAIN-CONTAINING PROTEIN FAMILY MEMBER","Vasodilator-stimulated phosphoprotein, VASP, tetramerisation domain"
inv,True,0.9992,Homeodomain,HOMEOBOX PROTEIN ENGRAILED,Homeodomain-like
PolG2,True,0.5559,Anticodon binding domain,GLYCYL-TRNA SYNTHETASE/DNA POLYMERASE SUBUNIT GAMMA-2,Class II aaRS ABD-related
tral,True,0.6231,Scd6-like Sm domain,SCD6 PROTEIN-RELATED,Sm-like ribonucleoproteins
srp,True,0.9984,GATA zinc finger,TRANSCRIPTION FACTOR GATA FAMILY MEMBER,Glucocorticoid receptor-like (DNA-binding domain)
lab,True,0.9907,Homeodomain,HOMEOBOX PROTEIN ROUGH-RELATED,Homeodomain-like
Myo95E,True,0.8959,Myosin head (motor domain),MYOSIN,P-loop containing nucleoside triphosphate hydrolases
gukh,True,0.9315,N/A,WASP-1,N/A
CG33695,True,0.8421,N/A,CHROMATIN COMPLEXES SUBUNIT BAP18-RELATED,Homeodomain-like
His3.3A,True,0.9572,Core histone H2A/H2B/H3/H4,HISTONE H3,Histone-fold
Cipc,True,0.806,N/A,N/A,N/A
Ptx1,True,0.9979,OAR motif,PITUITARY HOMEOBOX HOMOLOG PTX1,Homeodomain-like
hth,True,0.9989,TALE/MEIS homeobox family N-terminal domain,HOMEOBOX PROTEIN TRANSCRIPTION FACTORS,Homeodomain-like
seq,True,0.9988,N/A,HOMEOBOX PROTEIN BARH-LIKE,beta-beta-alpha zinc fingers
CycT,True,0.6481,"Cyclin-T2-like, C-terminal domain",CYCLIN,Cyclin-like
kay,True,0.9896,bZIP transcription factor,FOS TRANSCRIPTION FACTOR-RELATED,Leucine zipper domain
CG17568,True,0.9501,"Zinc finger, C2H2 type",KRAB AND ZINC FINGER DOMAIN-CONTAINING,beta-beta-alpha zinc fingers
Cp110,True,0.6683,Calcium-dependent calmodulin binding,CENTRIOLAR COILED-COIL PROTEIN OF 110 KDA,N/A
CG15888,True,0.5864,N/A,N/A,N/A
Alms1b,True,0.6152,ALMS motif,N/A,N/A
twi,True,0.9855,Helix-loop-helix DNA-binding domain,"BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTOR, TWIST","HLH, helix-loop-helix DNA-binding domain"
Ccdc6,True,0.687,Uncharacterized conserved protein H4 (DUF2046),H4 D10S170  PROTEIN-RELATED,N/A
Deaf1,True,0.9643,SAND domain,DEFORMED EPIDERMAL AUTOREGULATORY FACTOR 1 HOMOLOG  SUPPRESSIN,SAND domain-like
E(spl)m5-HLH,True,0.9731,Helix-loop-helix DNA-binding domain,"BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTOR, HES-RELATED","HLH, helix-loop-helix DNA-binding domain"
ovo,True,0.9995,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN WITH KRAB AND SCAN DOMAINS,beta-beta-alpha zinc fingers
CG14400,True,0.842,N/A,N/A,N/A
His3.3B,True,0.9572,Core histone H2A/H2B/H3/H4,HISTONE H3,Histone-fold
l(3)73Ah,True,0.9524,"Zinc finger, C3HC4 type (RING finger)",POLYCOMB GROUP RING FINGER PROTEIN,RING/U-box
Tbp,True,0.9977,"Transcription factor TFIID (or TATA-binding protein, TBP)",TATA-BOX BINDING PROTEIN,TATA-box binding protein-like
bin,True,0.9993,Forkhead domain,FORKHEAD BOX PROTEIN BINIOU,"""Winged helix"" DNA-binding domain"
disco,True,0.99,N/A,DISCONNECTED-RELATED,N/A
bsh,True,0.9883,Homeodomain,HOMEO BOX HB9 LIKE A-RELATED,Homeodomain-like
opa,True,0.9985,Zic proteins zinc finger domain,TRANSCRIPTIONAL ACTIVATOR CUBITUS INTERRUPTUS,beta-beta-alpha zinc fingers
crc,True,0.9955,bZIP transcription factor,ACTIVATING TRANSCRIPTION FACTOR  ATF  4/5,Leucine zipper domain
Trl,True,0.979,GAGA factor,BTB DOMAIN TRANSCRIPTION FACTOR,POZ domain
CG17803,True,0.9645,Zinc-finger associated domain (zf-AD),KRAB AND ZINC FINGER DOMAIN-CONTAINING,beta-beta-alpha zinc fingers
RSG7,True,0.7617,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",LP21163P,"Regulator of G-protein signaling, RGS"
NAT1,True,0.7089,eIF4-gamma/eIF5/eIF2-epsilon,EUKARYOTIC TRANSLATION INITIATION FACTOR 4 GAMMA,ARM repeat
gl,True,0.9933,"Zinc finger, C2H2 type",PR DOMAIN ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
CG1024,True,0.9765,"Zinc finger, C2H2 type",TRANSCRIPTIONAL REPRESSOR CTCFL-RELATED,N/A
brwl,True,0.8679,Alcohol dehydrogenase transcription factor Myb/SANT-like,MADF DOMAIN TRANSCRIPTION FACTOR,N/A
CG11788,True,0.7811,Sister chromatid cohesion protein Dcc1,SISTER CHROMATID COHESION PROTEIN DCC1-RELATED,N/A
run,True,0.9679,Runt domain,RUNT RELATED,p53-like transcription factors
CG10462,True,0.7936,"Zinc finger, C2H2 type",KRAB AND ZINC FINGER DOMAIN-CONTAINING,beta-beta-alpha zinc fingers
brk,True,0.9261,Brinker DNA-binding domain,"MUCIN 4B, ISOFORM B-RELATED",N/A
CG14810,True,0.6062,N/A,N/A,N/A
Zw10,True,0.5179,"Centromere/kinetochore protein zw10, C-terminal",CENTROMERE/KINETOCHORE PROTEIN ZW10,N/A
CG34029,True,0.8607,N/A,N/A,N/A
CG34031,True,0.999,Homeodomain,HOMEO BOX HB9 LIKE A-RELATED,Homeodomain-like
CG34116,True,0.5048,N/A,N/A,N/A
RunxA,True,0.9946,Runt domain,RUNT RELATED,p53-like transcription factors
CG34149,True,0.7884,BESS motif,N/A,N/A
Parp1,True,0.9952,WGR domain,DNA LIGASE,Domain of poly(ADP-ribose) polymerase
ATbp,True,0.9916,N/A,PR DOMAIN ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
CG34159,True,0.9866,FAM195 family,N/A,N/A
CG34216,True,0.8285,Domain of unknown function (DUF4778),N/A,N/A
CG34269,True,0.782,N/A,N/A,N/A
Drgx,True,0.9948,OAR motif,HOMEOBOX PROTEIN ARISTALESS,Homeodomain-like
CG34347,True,0.9632,FERM central domain,4.1 G PROTEIN,Ubiquitin-like
CG34367,True,0.9982,OAR motif,SHORT STATURE HOMEOBOX,Homeodomain-like
CG34375,True,0.6839,"E3 ubiquitin-protein ligase sina/sinah, RING finger",E3 UBIQUITIN-PROTEIN LIGASE SIAH2,PDZ domain-like
CG34376,True,0.9144,BTB/POZ domain,BTB DOMAIN TRANSCRIPTION FACTOR,POZ domain
nub,True,0.997,Homeodomain,POU DOMAIN,lambda repressor-like DNA-binding domains
pan,True,0.9868,HMG (high mobility group) box,TRANSCRIPTION FACTOR 7 FAMILY MEMBER,HMG-box
CG34417,True,0.5205,Calponin homology (CH) domain,CALPONIN HOMOLOGY DOMAIN-CONTAINING PROTEIN DDB_G0272472-RELATED,"Calponin-homology domain, CH-domain"
CG40813,True,0.9596,RNA recognition motif,ACTIVATOR OF BASAL TRANSCRIPTION 1,"RNA-binding domain, RBD"
CG41562,True,0.8382,RNA recognition motif,ACTIVATOR OF BASAL TRANSCRIPTION 1,"RNA-binding domain, RBD"
del,True,0.5123,N/A,N/A,N/A
tef,True,0.914,N/A,N/A,N/A
Tab2,True,0.989,N/A,N/A,Ran binding protein zinc finger-like
jeb,True,0.5187,N/A,GH16255P,LDL receptor-like module
vvl,True,0.9967,Homeodomain,POU DOMAIN,lambda repressor-like DNA-binding domains
Mst36Fa,True,0.9578,N/A,N/A,N/A
chinmo,True,0.8037,BTB/POZ domain,BTB DOMAIN TRANSCRIPTION FACTOR,beta-beta-alpha zinc fingers
mbm,True,0.5261,N/A,AGL056WP,Retrovirus zinc finger-like domains
Vrp1,True,0.5841,WH2 motif,PROTEIN DIAPHANOUS,N/A
CG42233,True,0.9512,"WD domain, G-beta repeat",WD REPEAT DOMAIN-CONTAINING FAMILY,WD40 repeat-like
CG42266,True,0.9737,N/A,N/A,N/A
RunxB,True,0.9501,Runt domain,RUNT RELATED,p53-like transcription factors
bun,True,0.9999,TSC-22/dip/bun family,TSC22 DOMAIN FAMILY PROTEIN 1,Delta-sleep-inducing peptide immunoreactive peptide
CG42296,True,0.6011,Chitin binding Peritrophin-A domain,N/A,Invertebrate chitin-binding proteins
grh,True,0.9953,CP2 transcription factor,TRANSCRIPTION FACTOR CP2,N/A
CG42337,True,0.9454,N/A,N/A,N/A
CG42342,True,0.5091,Collagen triple helix repeat (20 copies),COLLAGEN,N/A
pzg,True,0.9879,N/A,ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
bora,True,0.8341,Protein aurora borealis N-terminus,PROTEIN AURORA BOREALIS,N/A
CG42458,True,0.872,RNA recognition motif,HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN,"RNA-binding domain, RBD"
cwo,True,0.9964,Helix-loop-helix DNA-binding domain,"BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTOR, HES-RELATED",Orange domain-like
E(var)3-9,True,0.991,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN 142,Glucocorticoid receptor-like (DNA-binding domain)
mtg,True,0.8708,Chitin binding Peritrophin-A domain,FI18007P1-RELATED,Invertebrate chitin-binding proteins
dl,True,0.995,Rel homology dimerisation domain,NUCLEAR FACTOR NF-KAPPA-B PROTEIN,E set domains
CG3281,True,0.9723,Zinc-finger associated domain (zf-AD),ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
Larp7,True,0.8147,RNA binding motif,LUPUS LA PROTEIN-RELATED,"""Winged helix"" DNA-binding domain"
GatA,True,0.9085,Amidase,TRANSAMIDASE,Amidase signature (AS) enzymes
scny,True,0.9372,Ubiquitin carboxyl-terminal hydrolase,UBIQUITIN CARBOXYL-TERMINAL HYDROLASE,Cysteine proteinases
Xrp1,True,0.9736,N/A,N/A,N/A
Alh,True,0.9389,PHD-zinc-finger like domain,PHD FINGER PROTEINS,FYVE/PHD zinc finger
Hr39,True,0.9931,Ligand-binding domain of nuclear hormone receptor,NUCLEAR RECEPTOR SUBFAMILY 5 GROUP A,Nuclear receptor ligand-binding domain
lqfR,True,0.8978,Telomere length regulation protein,EPSIN/ENT-RELATED,ARM repeat
hkb,True,0.9949,"Zinc finger, C2H2 type",KRUEPPEL-LIKE TRANSCRIPTION FACTOR,beta-beta-alpha zinc fingers
CG42673,True,0.9442,N/A,PHOSPHOTYROSINE INTERACTION DOMAIN-CONTAINING FAMILY MEMBER,N/A
CoRest,True,0.9981,Myb-like DNA-binding domain,REST COREPRESSOR  COREST  PROTEIN-RELATED,Homeodomain-like
pdm3,True,0.9855,Pou domain - N-terminal to homeobox domain,POU DOMAIN,lambda repressor-like DNA-binding domains
Axud1,True,0.9416,Cysteine/serine-rich nuclear protein N-terminus,TGF-BETA INDUCED APOPTOSIS PROTEIN,N/A
CG42726,True,0.9939,"Zinc finger, C2H2 type",PR DOMAIN ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
gce,True,0.9888,PAS domain,CIRCADIAN PROTEIN CLOCK/ARNT/BMAL/PAS,PYP-like sensor domain (PAS domain)
CG42741,True,0.9769,"Zinc finger, C2H2 type",KRUEPPEL-LIKE TRANSCRIPTION FACTOR,beta-beta-alpha zinc fingers
Dbx,True,0.9919,Homeodomain,DBX,Homeodomain-like
mi,True,0.7975,N/A,N/A,N/A
vnd,True,0.9971,Homeodomain,HOMEOBOX PROTEIN NKX,Homeodomain-like
mid,True,0.9994,T-box,T-BOX PROTEIN-RELATED,p53-like transcription factors
l(2)gd1,True,0.9897,C2 domain,COILED-COIL AND C2 DOMAIN-CONTAINING PROTEIN 1-LIKE,"C2 domain (Calcium/lipid-binding domain, CaLB)"
trh,True,0.9582,PAS fold,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA,PYP-like sensor domain (PAS domain)
FoxP,True,0.9991,FOXP coiled-coil domain,"FORKHEAD BOX P, ISOFORM C","""Winged helix"" DNA-binding domain"
CG43077,True,0.9365,N/A,N/A,N/A
CG43116,True,0.7789,N/A,N/A,N/A
dati,True,0.9813,"Zinc finger, C2H2 type",PR DOMAIN ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
Myc,True,0.9723,Helix-loop-helix DNA-binding domain,MYC PROTO-ONCOGENE,"HLH, helix-loop-helix DNA-binding domain"
Polr2K,True,0.9252,"DNA directed RNA polymerase, 7 kDa subunit","DNA-DIRECTED RNA POLYMERASES I, II, AND III",RNA polymerase subunits
cnc,True,0.9887,bZIP Maf transcription factor,NUCLEAR FACTOR ERYTHROID 2-RELATED FACTOR,Leucine zipper domain
CG43339,True,0.5259,N/A,N/A,N/A
CG43338,True,0.5712,N/A,TSEC-2-RELATED,N/A
psq,True,0.6593,BTB/POZ domain,BTB DOMAIN TRANSCRIPTION FACTOR,POZ domain
BtbVII,True,0.9775,BTB/POZ domain,BTB DOMAIN TRANSCRIPTION FACTOR,POZ domain
Mitf,True,0.9976,Helix-loop-helix DNA-binding domain,MIP04163P,"HLH, helix-loop-helix DNA-binding domain"
dar1,True,0.9968,"Zinc finger, C2H2 type",KRUEPPEL-LIKE TRANSCRIPTION FACTOR,beta-beta-alpha zinc fingers
smash,True,0.7358,Domain of unknown function (DUF4757),LIM DOMAIN ONLY 7,N/A
Vsx1,True,0.9996,Homeodomain,VISUAL SYSTEM HOMEOBOX 2,Homeodomain-like
Vsx2,True,0.9986,OAR motif,VISUAL SYSTEM HOMEOBOX 2,Homeodomain-like
PolE4,True,0.9649,Histone-like transcription factor (CBF/NF-Y) and archaeal histone,HISTONE-LIKE TRANSCRIPTION FACTOR CCAAT-RELATED,Histone-fold
CG4610,True,0.8386,tRNA modifying enzyme MnmG/GidA C-terminal helical bundle,GLUCOSE INHIBITED DIVISION PROTEIN A,FAD/NAD(P)-binding domain
px,True,0.5366,N/A,"PLEXUS, ISOFORM A",N/A
qkr58E-1,True,0.8964,"KHDC4/BBP-like, KH-domain type I",RNA-BINDING PROTEIN RELATED,Eukaryotic type KH-domain (KH-domain type I)
CG13510,True,0.5569,LITAF-like zinc ribbon domain,LIPOPOLYSACCHARIDE-INDUCED TUMOR NECROSIS FACTOR-ALPHA FACTOR,N/A
fd59A,True,0.994,Forkhead domain,FORKHEAD BOX PROTEIN,"""Winged helix"" DNA-binding domain"
CG9876,True,0.9935,Homeodomain,HOMEOBOX PROTEIN ARISTALESS,Homeodomain-like
retn,True,0.9956,ARID/BRIGHT DNA binding domain,AT-RICH INTERACTIVE DOMAIN-CONTAINING PROTEIN  ARID DOMAIN- CONTAINING PROTEIN   DEAD RINGER PROTEIN   B-CELL REGULATOR OF IGH TRANSCRIPTION   BRIGHT,ARID-like
pita,True,0.9507,"Zinc finger, C2H2 type",PR DOMAIN ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
ken,True,0.9878,BTB/POZ domain,B-CELL LYMPHOMA/LEUKEMIA 11,POZ domain
CG3065,True,0.9972,"Zinc finger, C2H2 type",KRUEPPEL-LIKE TRANSCRIPTION FACTOR,beta-beta-alpha zinc fingers
mr,True,0.7309,Cullin family,ANAPHASE-PROMOTING COMPLEX SUBUNIT 2,"""Winged helix"" DNA-binding domain"
Sox14,True,0.8826,HMG (high mobility group) box,SOX TRANSCRIPTION FACTOR,HMG-box
CG3163,True,0.9525,Alcohol dehydrogenase transcription factor Myb/SANT-like,MADF DOMAIN-CONTAINING PROTEIN-RELATED,N/A
Not11,True,0.5198,CCR4-NOT transcription complex subunit 11,CCR4-NOT TRANSCRIPTION COMPLEX SUBUNIT 11,N/A
Orcokinin,True,0.6641,N/A,N/A,N/A
Nap1,True,0.5959,Nucleosome assembly protein (NAP),TESTIS-SPECIFIC Y-ENCODED PROTEIN,NAP-like
PHDP,True,0.9972,Homeodomain,HOMEOBOX PROTEIN ARISTALESS,Homeodomain-like
Pym,True,0.6489,Mago binding,PYM PROTEIN,"Pym (Within the bgcn gene intron protein, WIBG), N-terminal domain"
bs,True,0.9921,SRF-type transcription factor (DNA-binding and dimerisation domain),SERUM RESPONSE FACTOR HOMOLOG,SRF-like
slbo,True,0.9991,Basic region leucine zipper,CCAAT/ENHANCER BINDING PROTEIN,Leucine zipper domain
tamo,True,0.6877,"Spermatogenesis-associated protein 2, PUB-like domain",SPERMATOGENESIS-ASSOCIATED PROTEIN 2/TAMOZHENNIC,Ran binding protein zinc finger-like
CG3548,True,0.9288,Myb/SANT-like DNA-binding domain,APONTIC,N/A
CG4707,True,0.9335,Zinc-finger associated domain (zf-AD),TRANSCRIPTIONAL REPRESSOR CTCFL-RELATED,Glucocorticoid receptor-like (DNA-binding domain)
Dll,True,0.9976,Homeodomain,HOMEOBOX PROTEIN,Homeodomain-like
CG2765,True,0.7833,Thyroid hormone-inducible hepatic protein Spot 14,SPOT14 FAMILY MEMBER,N/A
CG2790,True,0.8938,Zinc-finger double-stranded RNA-binding,DNAJ HOMOLOG SUBFAMILY C MEMBER 21,Chaperone J-domain
Kr,True,0.9988,"Zinc finger, C2H2 type",PR DOMAIN ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
gsb-n,True,0.9973,'Paired box' domain,PAIRED BOX PROTEIN PAX-6-RELATED-RELATED,Homeodomain-like
CG1233,True,0.9932,"Zinc finger, C2H2 type",KRAB AND ZINC FINGER DOMAIN-CONTAINING,beta-beta-alpha zinc fingers
BORCS6,True,0.7243,BLOC-1-related complex sub-unit 6 C-terminal helix,BLOC-1 RELATED COMPLEX SUBUNIT 6,N/A
Kah,True,0.9947,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
nerfin-1,True,0.5566,"Zinc finger, C2H2 type",INSULINOMA-ASSOCIATED 1,beta-beta-alpha zinc fingers
hng3,True,0.5778,Alcohol dehydrogenase transcription factor Myb/SANT-like,MADF DOMAIN TRANSCRIPTION FACTOR,N/A
bab1,True,0.9967,"helix-turn-helix, Psq domain",BTB DOMAIN TRANSCRIPTION FACTOR,POZ domain
Zn72D,True,0.7963,DZF N-terminal domain,ZINC FINGER RNA-BINDING PROTEIN,beta-beta-alpha zinc fingers
CG43638,True,0.867,N/A,N/A,N/A
CG34334,True,0.8968,RNA recognition motif,RIBONUCLEIC ACID BINDING PROTEIN S1,"RNA-binding domain, RBD"
CG43711,True,0.5805,N/A,N/A,N/A
jvl,True,0.8759,N/A,N/A,N/A
ebi,True,0.6118,"WD domain, G-beta repeat",WD40 REPEAT PROTEIN,Quinoprotein alcohol dehydrogenase-like
CG43736,True,0.8891,N/A,EPHRIN_REC_LIKE DOMAIN-CONTAINING PROTEIN,N/A
Hmx,True,0.9843,Homeodomain,HOMEOBOX PROTEIN HMX,Homeodomain-like
tgo,True,0.9835,Helix-loop-helix DNA-binding domain,CIRCADIAN PROTEIN CLOCK/ARNT/BMAL/PAS,"HLH, helix-loop-helix DNA-binding domain"
CG43759,True,0.8019,N/A,N/A,N/A
orb2,True,0.9133,RNA recognition motif,CYTOPLASMIC POLYADENYLATION ELEMENT BINDING PROTEIN  CPEB,"RNA-binding domain, RBD"
ab,True,0.9927,BTB/POZ domain,BTB DOMAIN TRANSCRIPTION FACTOR,POZ domain
CG43897,True,0.7969,Domain of unknown function (DUF4749),N/A,N/A
CG44002,True,0.9646,Zinc-finger associated domain (zf-AD),ZINC FINGER PROTEIN,Glucocorticoid receptor-like (DNA-binding domain)
pre-lola-G,True,0.7448,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
fd3F,True,0.9919,Forkhead domain,FORKHEAD BOX PROTEIN N3-LIKE PROTEIN-RELATED,"""Winged helix"" DNA-binding domain"
CG44195,True,0.5818,N/A,N/A,N/A
Atf-2,True,0.6204,N/A,CYCLIC-AMP RESPONSE ELEMENT BINDING PROTEIN,N/A
l(3)neo38,True,0.9912,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
Traf6,True,0.7048,"Zinc finger, C3HC4 type (RING finger)",TNF RECEPTOR ASSOCIATED FACTOR,TRAF domain-like
Cdc5,True,0.9465,pre-mRNA splicing factor component,CELL DIVISION CYCLE 5-LIKE PROTEIN,Homeodomain-like
CG44405,True,0.8957,N/A,N/A,N/A
CG44434,True,0.7472,N/A,N/A,N/A
CG44435,True,0.5008,N/A,N/A,N/A
CrebB,True,0.9994,bZIP transcription factor,CYCLIC AMP RESPONSE ELEMENT-BINDING PROTEIN B,Leucine zipper domain
sima,True,0.5446,PAS fold,HYPOXIA-INDUCIBLE FACTOR 1 ALPHA,"HLH, helix-loop-helix DNA-binding domain"
CG45064,True,0.9633,N/A,N/A,N/A
CG45071,True,0.7145,Alcohol dehydrogenase transcription factor Myb/SANT-like,MADF DOMAIN TRANSCRIPTION FACTOR,N/A
Kr-h1,True,0.9706,"Zinc finger, C2H2 type",ZINC FINGER AND SCAN DOMAIN-CONTAINING,beta-beta-alpha zinc fingers
Sec3,True,0.8367,Exocyst complex component SEC3 N-terminal PIP2 binding PH,SEC3/SYNTAXIN-RELATED,N/A
rn,True,0.9862,"Zinc finger, C2H2 type",TRANSCRIPTIONAL REPRESSOR PROTEIN YY,beta-beta-alpha zinc fingers
Mst77Y-4,True,0.668,N/A,N/A,N/A
HnRNP-K,True,0.7193,KH domain,KH DOMAIN CONTAINING RNA BINDING PROTEIN,Eukaryotic type KH-domain (KH-domain type I)
rgr,True,0.9318,Alcohol dehydrogenase transcription factor Myb/SANT-like,PR DOMAIN ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
da,True,0.9464,Helix-loop-helix DNA-binding domain,BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTOR,"HLH, helix-loop-helix DNA-binding domain"
ap,True,0.996,Homeodomain,LIM/HOMEOBOX PROTEIN LHX,Glucocorticoid receptor-like (DNA-binding domain)
zf30C,True,0.9978,"Zinc finger, C2H2 type",TRANSCRIPTIONAL REPRESSOR CTCFL-RELATED,beta-beta-alpha zinc fingers
dmt,True,0.9779,Sororin protein,N/A,N/A
